PlayerId,PlayerName,TeamName,Position,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
672359,Tirso Ornelas,San Diego Padres,Outfielder,25.0,7.0,5.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,.071,14.0,.188,.071,.259,0.0,0.0,.---,.---,1.0,62.0,16.0,1.0,1.0,6.0,0.0,0.0,.083,0.83,0.0,-.--
695238,Will Wagner,San Diego Padres,Third Base,,55.0,42.0,31.0,15.0,7.0,0.0,0.0,28.0,17.0,0.0,29.0,2.0,.225,129.0,.324,.279,.603,0.0,1.0,1.000,.000,3.0,632.0,149.0,36.0,7.0,64.0,1.0,0.0,.287,1.35,0.0,-.--
593428,Xander Bogaerts,San Diego Padres,Shortstop,32.0,136.0,126.0,151.0,63.0,30.0,0.0,11.0,94.0,48.0,3.0,129.0,4.0,.263,491.0,.328,.391,.719,2.0,20.0,.909,.091,12.0,2100.0,552.0,192.0,53.0,234.0,1.0,8.0,.299,0.83,0.0,44.64
810938,Ben Williamson,Seattle Mariners,Third Base,24.0,85.0,90.0,55.0,36.0,13.0,0.0,1.0,64.0,15.0,0.0,70.0,1.0,.253,277.0,.294,.310,.604,1.0,5.0,.833,.167,5.0,1216.0,295.0,86.0,21.0,118.0,2.0,0.0,.325,1.64,0.0,277.00
663728,Cal Raleigh,Seattle Mariners,Catcher,28.0,159.0,79.0,185.0,110.0,24.0,0.0,60.0,188.0,97.0,17.0,147.0,9.0,.247,596.0,.359,.589,.948,4.0,14.0,.778,.222,6.0,2833.0,705.0,351.0,125.0,243.0,0.0,3.0,.248,0.43,0.0,9.93
702284,Cole Young,Seattle Mariners,Second Base,21.0,77.0,52.0,81.0,24.0,7.0,1.0,4.0,47.0,28.0,1.0,47.0,2.0,.211,223.0,.302,.305,.607,0.0,1.0,1.000,.000,4.0,1034.0,257.0,68.0,24.0,103.0,2.0,2.0,.247,0.64,0.0,55.75
686527,Dominic Canzone,Seattle Mariners,Outfielder,27.0,82.0,55.0,59.0,30.0,11.0,0.0,11.0,59.0,20.0,0.0,73.0,3.0,.300,243.0,.358,.481,.839,1.0,3.0,.750,.250,6.0,1028.0,269.0,117.0,32.0,92.0,0.0,2.0,.354,0.93,0.0,22.09
695670,Harry Ford,Seattle Mariners,Catcher,22.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,.167,6.0,.250,.167,.417,0.0,0.0,.---,.---,0.0,29.0,8.0,1.0,1.0,4.0,0.0,1.0,.250,0.50,0.0,-.--
641487,J.P. Crawford,Seattle Mariners,Shortstop,30.0,157.0,155.0,149.0,69.0,24.0,0.0,12.0,122.0,74.0,1.0,151.0,3.0,.265,570.0,.352,.370,.722,1.0,8.0,.889,.111,11.0,2731.0,654.0,211.0,58.0,204.0,6.0,1.0,.318,1.04,0.0,47.50
593871,Jorge Polanco,Seattle Mariners,Second Base,31.0,138.0,114.0,158.0,64.0,30.0,0.0,26.0,82.0,42.0,1.0,125.0,3.0,.265,471.0,.326,.495,.821,3.0,6.0,.667,.333,7.0,2023.0,524.0,233.0,78.0,164.0,3.0,5.0,.269,0.72,0.0,18.12
677594,Julio Rodríguez,Seattle Mariners,Outfielder,24.0,160.0,174.0,154.0,106.0,31.0,4.0,32.0,152.0,44.0,5.0,174.0,12.0,.267,652.0,.324,.474,.798,6.0,30.0,.833,.167,15.0,2496.0,710.0,309.0,95.0,272.0,0.0,2.0,.302,1.13,0.0,20.38
660844,Leo Rivas,Seattle Mariners,Second Base,27.0,48.0,20.0,24.0,19.0,2.0,0.0,2.0,24.0,20.0,0.0,22.0,1.0,.244,90.0,.387,.333,.720,0.0,6.0,1.000,.000,1.0,520.0,111.0,30.0,9.0,52.0,0.0,0.0,.313,0.83,0.0,45.00
670042,Luke Raley,Seattle Mariners,Outfielder,30.0,73.0,53.0,33.0,23.0,8.0,0.0,4.0,64.0,19.0,0.0,37.0,13.0,.202,183.0,.319,.311,.630,1.0,2.0,.667,.333,2.0,831.0,219.0,57.0,19.0,81.0,3.0,1.0,.284,1.61,0.0,45.75
670156,Miles Mastrobuoni,Seattle Mariners,Third Base,29.0,76.0,55.0,36.0,20.0,4.0,0.0,1.0,29.0,17.0,0.0,38.0,0.0,.250,152.0,.324,.296,.620,3.0,6.0,.667,.333,2.0,669.0,175.0,45.0,12.0,65.0,5.0,1.0,.301,1.53,0.0,152.00
668227,Randy Arozarena,Seattle Mariners,Outfielder,30.0,160.0,125.0,156.0,95.0,32.0,1.0,27.0,191.0,64.0,2.0,146.0,27.0,.238,613.0,.334,.426,.760,6.0,31.0,.838,.162,9.0,2873.0,709.0,261.0,76.0,278.0,0.0,5.0,.298,0.80,0.0,22.70
689041,Rhylan Thomas,Seattle Mariners,Outfielder,25.0,3.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,.125,8.0,.200,.250,.450,0.0,0.0,.---,.---,0.0,34.0,10.0,2.0,2.0,3.0,0.0,1.0,.111,1.67,0.0,-.--
669392,Samad Taylor,Seattle Mariners,Second Base,26.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,.125,8.0,.125,.125,.250,0.0,0.0,.---,.---,0.0,23.0,9.0,1.0,0.0,7.0,1.0,0.0,.143,1.33,0.0,-.--
645302,Victor Robles,Seattle Mariners,Outfielder,28.0,32.0,29.0,27.0,12.0,4.0,1.0,1.0,26.0,3.0,0.0,26.0,3.0,.245,106.0,.281,.330,.611,2.0,6.0,.750,.250,3.0,375.0,114.0,35.0,9.0,44.0,0.0,2.0,.309,1.07,0.0,106.00
668800,Andrew Knizner,San Francisco Giants,Catcher,30.0,33.0,24.0,28.0,12.0,1.0,1.0,1.0,10.0,7.0,0.0,17.0,2.0,.221,77.0,.299,.299,.598,0.0,0.0,.---,.---,0.0,321.0,88.0,23.0,5.0,25.0,1.0,1.0,.239,0.86,0.0,77.00
805811,Bryce Eldridge,San Francisco Giants,First Base,20.0,10.0,6.0,7.0,1.0,2.0,0.0,0.0,13.0,7.0,0.0,3.0,1.0,.107,28.0,.297,.179,.476,0.0,0.0,.---,.---,0.0,160.0,37.0,5.0,4.0,14.0,0.0,1.0,.188,0.86,0.0,-.--
669477,Casey Schmitt,San Francisco Giants,Third Base,26.0,95.0,58.0,101.0,34.0,15.0,0.0,12.0,83.0,27.0,1.0,74.0,5.0,.237,312.0,.305,.401,.706,0.0,0.0,.---,.---,6.0,1330.0,348.0,125.0,40.0,149.0,1.0,3.0,.282,0.57,0.0,26.00
683766,Christian Koss,San Francisco Giants,Second Base,27.0,76.0,52.0,36.0,25.0,9.0,0.0,3.0,45.0,9.0,0.0,46.0,3.0,.264,174.0,.309,.368,.677,1.0,4.0,.800,.200,4.0,644.0,191.0,64.0,23.0,78.0,3.0,2.0,.336,1.44,0.0,58.00
687551,Drew Gilbert,San Francisco Giants,Outfielder,24.0,39.0,34.0,28.0,12.0,5.0,1.0,3.0,20.0,7.0,0.0,19.0,1.0,.190,100.0,.248,.350,.598,1.0,1.0,.500,.500,2.0,416.0,109.0,35.0,13.0,42.0,0.0,1.0,.205,1.21,0.0,33.33
687529,Grant McCray,San Francisco Giants,Outfielder,24.0,22.0,7.0,4.0,3.0,0.0,1.0,0.0,11.0,2.0,0.0,2.0,0.0,.091,22.0,.160,.182,.342,0.0,0.0,.---,.---,1.0,97.0,26.0,4.0,2.0,9.0,1.0,1.0,.167,1.75,0.0,-.--
671218,Heliot Ramos,San Francisco Giants,Outfielder,25.0,157.0,147.0,162.0,85.0,24.0,1.0,21.0,158.0,52.0,2.0,159.0,17.0,.256,620.0,.328,.400,.728,4.0,6.0,.600,.400,16.0,2653.0,695.0,248.0,69.0,247.0,0.0,6.0,.309,0.91,0.0,29.52
666464,Jerar Encarnacion,San Francisco Giants,Outfielder,27.0,19.0,17.0,12.0,5.0,3.0,0.0,2.0,15.0,1.0,0.0,11.0,0.0,.200,55.0,.214,.364,.578,0.0,1.0,1.000,.000,3.0,185.0,56.0,20.0,7.0,26.0,0.0,0.0,.237,1.42,0.0,27.50
683679,Jesus Rodriguez,San Francisco Giants,Catcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808982,Jung Hoo Lee,San Francisco Giants,Outfielder,26.0,150.0,182.0,162.0,73.0,31.0,12.0,8.0,71.0,47.0,0.0,149.0,6.0,.266,560.0,.327,.407,.734,3.0,10.0,.769,.231,2.0,2351.0,617.0,228.0,55.0,223.0,0.0,4.0,.291,1.12,0.0,70.00
682641,Luis Matos,San Francisco Giants,Outfielder,23.0,57.0,53.0,55.0,26.0,9.0,1.0,8.0,27.0,11.0,0.0,38.0,0.0,.221,172.0,.266,.424,.690,0.0,4.0,1.000,.000,5.0,687.0,184.0,73.0,22.0,75.0,0.0,1.0,.217,0.96,0.0,21.50
682617,Marco Luciano,San Francisco Giants,Outfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656305,Matt Chapman,San Francisco Giants,Third Base,32.0,128.0,96.0,131.0,76.0,23.0,2.0,21.0,126.0,71.0,1.0,105.0,6.0,.231,454.0,.340,.430,.770,4.0,9.0,.692,.308,8.0,2209.0,535.0,195.0,61.0,215.0,0.0,4.0,.270,0.73,0.0,21.62
672275,Patrick Bailey,San Francisco Giants,Catcher,26.0,135.0,82.0,113.0,47.0,18.0,3.0,6.0,133.0,30.0,0.0,91.0,3.0,.222,409.0,.277,.325,.602,0.0,1.0,1.000,.000,7.0,1724.0,452.0,133.0,55.0,201.0,4.0,6.0,.308,0.73,0.0,68.17
